Activity	City	Activity details
Activity	Svalbard	Svalbard: Wildlife and Glacier Hybrid Catamaran Tour - Time: 8:15 AM - 2:45 PM - Meeting point: Hotel pick-up to harbour - Inclusions: Hybrid-electric catamaran tour, vegetarian lentil soup onboard - Description: Fjord and glacier cruise towards Billefjorden and Nordenskiöldbreen with wildlife viewing opportunities.
Activity	Reykjavík	Reykjavík: 2-Day Holiday Package South Coast Minibus Adventure - Time: 8:00 AM - 8:30 AM pick-up on Day 1 - Meeting point: Pick-up/drop-off in central Reykjavík - Inclusions: Professional English-speaking guide, hotel stay with breakfast and private bathroom, premium vehicle with Wi-Fi, small-group local Iceland experience, 4-hour glacier hike and ice cave tour with guide, safety equipment, Northern Lights sightseeing if weather allows - Description: Two-day South Coast adventure including waterfalls, Reynisfjara, Jökulsárlón Glacier Lagoon and Diamond Beach. Only one breakfast is included.
Activity	Reykjavík	Reykjavík: 5-Day Holiday Package Snæfellsnes & South Coast Tour - Time: Not specified - Meeting point: Pick-up/drop-off in central Reykjavík - Inclusions: English-speaking guide, 4 nights hotel accommodation with breakfast, Northern Lights walks, Deildartunguhver, Hraunfossar and Barnafoss, Snæfellsnes Peninsula, Golden Circle, glacier hike and ice caves at Jökulsárlón, Reynisfjara and Fjaðrárgljúfur - Description: Guided multi-day Iceland package. Flights, airport transfers, most meals, personal spending, insurance and single traveller supplement are not included.
Activity	Reykjavík	Reykjavík: Blue Lagoon & Volcano Eruption Site Tour - Time: 8:00 AM - 5:00 PM - Meeting point: Pick-up/drop-off in central Reykjavík - Inclusions: Experienced English-speaking guide, hike to Fagradalsfjall volcano area, Blue Lagoon Comfort Admission, silica mud mask and towel, free Wi-Fi onboard, headlamp when needed, drink of choice at Blue Lagoon - Description: Combination volcanic-area hike and Blue Lagoon visit. Volcano activity is not guaranteed.
Activity	Reykjavík	Reykjavík: Blue Lagoon Premium Entry Tickets - Time: Flexible - Meeting point: Blue Lagoon - Inclusions: Blue Lagoon access, steam bath, sauna and colder lagoon, silica mud mask, towel, shampoo, conditioner, shower gel and moisturizer, private locker, bathrobe, one drink, two additional masks, silica mud mask to take home - Description: Premium Blue Lagoon entry ticket.
Activity	Reykjavík	Reykjavík: Golden Circle & Blue Lagoon Tour - Time: 9:00 AM - 8:00 PM - Meeting point: Pick-up/drop-off in central Reykjavík - Inclusions: Professional English-speaking guide, small-group minibus, Blue Lagoon Comfort Admission, Kerið crater admission, free Wi-Fi onboard - Description: Full-day Golden Circle tour with Blue Lagoon entrance.
Activity	Reykjavík	Reykjavík: Grand Golden Circle Full-Day Tour - Time: 8:00 AM (8.5-9 hours) - Meeting point: Bus Stop 12 Höfðatorg, Þórunnartún 6, Reykjavík or central Reykjavík pick-up/drop-off - Inclusions: Round-trip minivan/coach transport, English-speaking guide, Kerið volcanic crater admission, Gullfoss, Strokkur/Geysir area, Þingvellir UNESCO site, free Wi-Fi onboard - Description: Classic Golden Circle day tour with Kerið crater.
Activity	Reykjavík	Reykjavík: Northern Lights Minibus Tour - Small Group - Time: 8:30 PM - 12:30 AM - Meeting point: Pick-up/drop-off in central Reykjavík - Inclusions: Professional English-speaking guide, small-group Northern Lights tour, ticket to Aurora Museum Reykjavík, free Wi-Fi onboard, hot chocolate and refreshments - Description: Small-group Northern Lights tour by minibus.
Activity	Reykjavík	Reykjavík: Sky Lagoon Saman Pass 7-Step Spa Admission - Time: Flexible - Meeting point: Sky Lagoon - Inclusions: Sky Lagoon admission, complete 7-step ritual - Description: Spa admission product.
Activity	Reykjavík	Reykjavík: Snæfellsnes Peninsula Tour by Minivan - Time: 8:00 AM - 7:00 PM - Meeting point: Reykjavík pick-up/drop-off - Inclusions: Comfortable minibus transfer, English-speaking guide, free Wi-Fi onboard - Description: Tour of Snæfellsnes Peninsula highlights including Berserkjahraun, Kirkjufellsfoss, Mt. Kirkjufell, Snæfellsjökull National Park, Djúpalónssandur, Lóndrangar and Arnarstapi.
Activity	Reykjavík	Reykjavík: South Coast, Glacier & Black Sand Beach Tour - Time: 8:00 AM - 6:00 PM - Meeting point: Pick-up/drop-off in central Reykjavík - Inclusions: Comfortable minivan transfer, visits to Seljalandsfoss, Skógafoss, Sólheimajökull Glacier, Reynisfjara black basalt beach, Vík and Reynisdrangar, free Wi-Fi onboard - Description: South Coast day tour. Food is not included.
Activity	Reykjavík	Reykjavík: Volcano Circle Tour - Grindavík Town, Reykjanes Lava Fields & Hot Springs - Time: 10:00 AM - 5:00 PM - Meeting point: Pick-up/drop-off in central Reykjavík - Inclusions: Knowledgeable English-speaking guide, free Wi-Fi onboard the bus - Description: Reykjanes Peninsula tour including Kleifarvatn, Seltún geothermal area, Nátthagi lava field, Grindavík, Gunnuhver, Reykjanesviti lighthouse and Bridge Between Continents. Route may change due to volcanic activity or closures.
Activity	Reykjavík	Reykjavík: Whale Watching from Downtown - Time: Not specified - Meeting point: Old Harbour House, Ægisgarður 2, Reykjavík - Inclusions: Pick-up/drop-off in central Reykjavík where added, professional English-speaking guide, panoramic views, spacious observation decks and Wi-Fi, warm blankets, restroom onboard - Description: Whale watching cruise from Reykjavík Old Harbour. Sightings are not guaranteed.
Activity	Thingvellir	Thingvellir: Drysuit Snorkelling in Silfra - Time: 12:00 PM - Meeting point: Silfra Lake in Thingvellir - Inclusions: English-speaking guide, national park entrance fee, snorkeling gear, underwater photos, hot chocolate - Description: Drysuit snorkelling in Silfra fissure.
Activity	Vík	Vík: ATV Quad Express on Sólheimasandur - Time: 4:00 PM - 5:00 PM - Meeting point: Mýrdalsjökull Base Camp, Ytri Sólheimar, Vík - Inclusions: Professional English-speaking guide, ATV, insulated overalls, balaclava, helmet and boots - Description: ATV/quad ride on the black sand beach near Sólheimasandur and DC-3 plane wreck area.
Activity	Vík	Vík: Sólheimajökull Glacier Explorer Hiking Tour - Time: 11:00 AM or 2:30 PM (3 hours) - Meeting point: Sólheimajökull glacier parking lot 221, Vík - Inclusions: Authorised English-speaking guide, small group max 16 people, helmet, harness, ice axe, crampons and safety equipment - Description: Small-group guided glacier hike on Sólheimajökull.
Activity	Jukkasjärvi	Jukkasjärvi: Northern Lights Dinner - Time: 7:00 PM - 11:00 PM - Meeting point: Reception - Inclusions: Loan of warm overall, winter shoes and warm gloves, guided Northern Lights tour, wilderness dinner - Description: Northern Lights tour combined with seasonal wilderness dinner.
Activity	Abisko	Abisko: Mountain Hike in Abisko - Time: 8:00 AM - 3:00 PM - Meeting point: ICEHOTEL / confirmed pick-up - Inclusions: Lunch, coffee and something sweet, chair lift to Nuolja Mountain - Description: Guided mountain hike near Abisko National Park with Sámi guide.
Activity	Abisko	Abisko: Northern Lights Photography - Time: 7:00 PM - 11:30 PM - Meeting point: Confirmed locally - Inclusions: Camera, tripod, introduction to nighttime photography - Description: Beginner-friendly Northern Lights photography excursion.
Activity	Stockholm	Stockholm: Archipelago Tour with Guide - Time: 5:30 PM - 8:00 PM - Meeting point: Strandvägen, berth area 15 - Inclusions: Live-guided sightseeing aboard a classic archipelago ship - Description: Guided Stockholm archipelago boat tour.
Activity	Stockholm	Stockholm: City Walk in Sigtuna - Discover Sweden's Oldest City - Time: 4:00 PM - 5:00 PM - Meeting point: Sigtuna meeting point confirmed locally - Inclusions: Expert guide service, guided walking tour, visits to key sites - Description: Guided walk through Sigtuna, Sweden's oldest city.
Activity	Stockholm	Stockholm: Evening Wildlife Safari - Time: 7:00 PM - 11:00 PM - Meeting point: Stockholm Adventure, Kungsbro strand 21, Stockholm - Inclusions: Private minivan transport, English-speaking wildlife guide, photo memories, traditional Swedish meal - Description: Evening wildlife safari outside Stockholm by van.
Activity	Stockholm	Stockholm: Hop-On Hop-Off Bus 48-Hour Ticket - Time: Flexible - Meeting point: Stockholm hop-on hop-off stops - Inclusions: 48-hour hop-on hop-off bus ticket - Description: Flexible Stockholm sightseeing bus ticket.
Activity	Stockholm	Stockholm: Must-See Tour incl. Vasa Museum, Old Town & Boat Trip - Time: 9:30 AM / 4:00 PM - Meeting point: Gustav III's Obelisk, Stockholm - Inclusions: English-speaking guide, guided visit to Vasa Museum, Old Town, Royal Castle and Riddarholmen, Storkyrkan and German Church, short boat/ferry trip where included - Description: Guided Stockholm city highlights tour with Vasa Museum and Old Town.
Activity	Copenhagen	Copenhagen: City Walking & Canal Tour incl. Change of Guards - Time: 9:00 AM - 12:00 PM - Meeting point: Copenhagen Central Station - Inclusions: Walking tour with local host, small-group experience, harbour ferry ride, Changing of the Guard - Description: Guided Copenhagen walking tour with canal ferry segment and royal guard change. If ferry is unavailable, walking route is extended.
Activity	Copenhagen	Copenhagen: Tivoli Gardens Entrance Ticket - Time: Flexible - Meeting point: Tivoli Gardens - Inclusions: Entrance ticket only - Description: Flexible Tivoli Gardens admission.
Activity	Copenhagen	Copenhagen: Walking Tour of Highlights & Hidden Gems - Time: 1:00 PM - 3:00 PM - Meeting point: Marmorkirken Metro Station, Copenhagen - Inclusions: Professional English-speaking guide - Description: Small-group walking tour covering Copenhagen landmarks and hidden gems.
